district_id,age,gender,account_id,s_household,s_insurance,s_leasing,s_loan,s_statements,c_interest,c_pension,FREQUENCY,CASH_REC,CASH_SPENT,credit,spent,saving
18,47,F,1,105020,141,0.0,183.0,584.0,3065.5,0,239,25700.0,82774.0,28765.5,188702.0,-159936.5
1,72,M,2,479399,0,2923.0,83230.8,949.0,10717.5,0,478,48400.0,1001191.0,59117.5,1567692.8,-1508575.3
5,61,M,3,17068,46007,0.0,0.0,189.8,2070.0,0,117,170989.0,56949.8,173059.0,120214.6,52844.399999999994
12,98,M,4,62580,0,0.0,0.0,423.4,2744.0,188802,186,800.0,59813.4,192346.0,122816.8,69529.2
15,88,M,5,39620,0,0.0,0.0,204.4,1562.0,95323,84,600.0,32044.4,97485.0,71868.8,25616.199999999997
51,79,F,6,188626,0,0.0,0.0,671.6,6598.5,340119,246,900.0,114111.6,347617.5,303409.2,44208.29999999999
60,82,M,7,97600,0,0.0,0.0,292.0,6492.9,0,130,623775.0,458272.0,630267.9,556164.0,74103.90000000002
57,74,M,8,91420,0,0.0,0.0,496.4,7677.7,0,254,885084.0,500516.4,892761.7,592432.8,300328.8999999999
40,36,M,9,4069,0,0.0,0.0,978.2,7598.9,0,361,352557.0,336278.2,360155.9,341325.4,18830.5
54,43,F,10,168348,0,0.0,0.0,335.8,5527.3,0,156,544423.0,328895.8,549950.3,497579.6,52370.70000000007
76,75,F,11,3369,0,0.0,0.0,496.4,4077.7,0,186,300.0,42836.4,4377.7,46701.8,-42324.100000000006
21,99,F,12,8958,0,0.0,4682.0,219.0,1572.3,118760,106,1100.0,41439.0,121432.3,55298.0,66134.3
76,83,M,13,29094,0,0.0,3940.0,160.6,871.4,108848,75,1000.0,70610.6,110719.4,103805.20000000001,6914.1999999999825
47,75,M,14,75949,0,0.0,0.0,292.0,4141.0,0,124,408445.0,287692.0,412586.0,363933.0,48653.0
46,38,M,15,188149,228,0.0,2537.8,846.8,10040.1,0,365,1178458.0,959826.8,1188498.1,1151588.4,36909.700000000186
12,65,F,16,686,3401,0.0,3315.0,146.0,1539.9,0,60,345678.0,314186.0,347217.9,321734.0,25483.900000000023
1,48,F,17,14332,0,0.0,1029.0,14.6,4219.6,0,54,251244.0,149521.6,255463.6,164897.2,90566.4
43,78,F,18,9039,0,0.0,0.0,1650.0,12000.3,0,328,1893128.0,1823570.0,1905128.3,1834259.0,70869.30000000005
21,78,F,19,490039,0,0.0,20185.6,584.0,5587.6,0,303,45800.0,762135.7,51387.6,1272944.2999999998,-1221556.6999999997
74,48,F,20,54340,0,0.0,1029.0,335.8,1580.3,0,116,500.0,20455.8,2080.3,76160.6,-74080.3
54,51,F,21,58558,0,0.0,2057.0,116.8,1814.0,0,62,174017.5,66116.8,175831.5,126848.6,48982.899999999994
1,72,M,22,337413,0,2923.0,2286.0,759.2,9972.3,0,310,1057631.0,701559.2,1067603.3,1044940.3999999999,22662.90000000014
30,66,F,23,360034,0,4471.3,0.0,905.2,15256.8,0,370,1624224.0,1196345.2,1639480.8,1561755.7,77725.1000000001
74,60,F,24,4641,0,0.0,0.0,292.0,2889.1,0,140,351967.5,168172.0,354856.6,173105.0,181751.59999999998
68,55,M,25,187145,4428,0.0,30278.4,379.6,6200.1,0,274,1488172.0,1215437.6,1494372.1,1437668.6,56703.5
